Country,League,Season,round,Date,Time,Home,Away,HG,AG,HxG,AxG,HExpG+,AExpG+,Res,PSCH,PSCD,PSCA
Mexico,Liga MX,2023/2024,7,2023/09/03,02:05,Tigres UANL,Queretaro,5,0,3.5,0.5,4.175,0.275,H,1.5,4.36,7.43
Mexico,Liga MX,2023/2024,7,2023/09/03,04:10,Cruz Azul,Club America,2,3,1.2,0.6,1.56,1.68,A,3.44,3.94,2.07
Mexico,Liga MX,2023/2024,7,2023/09/03,19:00,Toluca,Pachuca,5,0,4.2,0.4,4.56,0.22,H,2.27,3.85,3.06
Mexico,Liga MX,2023/2024,7,2023/09/03,00:00,Leon,Necaxa,1,1,1.1,0.5,1.055,0.725,D,1.44,4.86,7.61
Mexico,Liga MX,2023/2024,7,2023/09/04,00:05,Guadalajara,Monterrey,1,2,0.6,1.3,0.78,1.615,A,3.09,3.2,2.55
Mexico,Liga MX,2023/2024,7,2023/09/04,03:00,Atletico San Luis,Atlas,2,0,1.3,0.6,1.615,0.33,H,2.6,3.29,2.95
Mexico,Liga MX,2023/2024,8,2023/09/16,01:50,Mazatlan,Cruz Azul,2,2,2.2,1.6,2.11,1.78,D,3.56,3.75,2.08
Mexico,Liga MX,2023/2024,8,2023/09/16,04:00,Tijuana,Toluca,2,1,1.1,0.4,1.505,0.67,H,2.62,3.76,2.63
Mexico,Liga MX,2023/2024,8,2023/09/17,04:10,Club America,Guadalajara,4,0,1.3,0.4,2.515,0.22,H,1.76,3.96,4.75
Mexico,Liga MX,2023/2024,8,2023/09/17,02:00,Monterrey,Leon,3,1,1.2,0.8,2.01,0.89,H,1.93,3.86,4
Mexico,Liga MX,2023/2024,8,2023/09/17,19:00,UNAM Pumas,Atletico San Luis,3,2,2.1,0.5,2.505,1.175,H,1.94,4.01,3.77
Mexico,Liga MX,2023/2024,8,2023/09/17,00:00,Necaxa,FC Juarez,1,1,1.4,0.4,1.22,0.67,D,3.02,3.37,2.5
Mexico,Liga MX,2023/2024,8,2023/09/18,00:00,Queretaro,Puebla,1,1,1.7,1.8,1.385,1.44,D,2,3.83,3.73
Mexico,Liga MX,2023/2024,8,2023/09/18,02:00,Atlas,Tigres UANL,2,0,1.7,0.6,1.835,0.33,H,3.18,3.17,2.52
Mexico,Liga MX,2023/2024,8,2023/09/19,04:00,Pachuca,Santos Laguna,3,2,1.4,1.7,2.12,1.835,H,2.17,3.91,3.21
Mexico,Liga MX,2023/2024,2,2023/09/21,03:06,Queretaro,Club America,1,2,0.8,1,0.89,1.45,A,4.73,4.27,1.71
Mexico,Liga MX,2023/2024,9,2023/09/23,02:00,FC Juarez,Atlas,1,2,1.9,1.4,1.495,1.67,A,2.74,3.1,2.94
Mexico,Liga MX,2023/2024,9,2023/09/23,02:00,Atletico San Luis,Mazatlan,3,2,1.4,2.2,2.12,2.11,H,1.6,4.47,5.52
Mexico,Liga MX,2023/2024,9,2023/09/23,04:10,Puebla,UNAM Pumas,0,2,0.7,2,0.385,2,A,3.55,4.15,1.97
Mexico,Liga MX,2023/2024,9,2023/09/24,19:00,Toluca,Club America,1,1,1.5,2,1.275,1.55,D,3.21,4.06,2.13
Mexico,Liga MX,2023/2024,9,2023/09/24,04:05,Tigres UANL,Monterrey,3,0,1.6,1,2.23,0.55,H,2.56,3.33,2.98
Mexico,Liga MX,2023/2024,9,2023/09/24,02:00,Guadalajara,Pachuca,0,0,0.7,0.9,0.385,0.495,D,2.22,3.44,3.48
Mexico,Liga MX,2023/2024,9,2023/09/24,02:00,Leon,Tijuana,1,0,1.1,0.1,1.055,0.055,H,1.49,4.84,6.45
Mexico,Liga MX,2023/2024,9,2023/09/24,23:00,Cruz Azul,Queretaro,1,3,2.4,1.9,1.77,2.395,A,1.71,4.05,5.05
