event_id,commence_time,api_home_team,api_away_team,home_team,away_team,home_odds,draw_odds,away_odds,bookmaker,market,regions,last_update,fetched_at,snapshot_type,target_round,capture_reason
6019cf7d7736d90f1f034b0450d030da,2026-08-15T23:00:00Z,Atlante FC,Toluca,Atlante,Toluca,5.7,4.4,1.66,matchbook,h2h,theoddsapi,2026-08-15T22:45:57Z,2026-08-15T22:46:01Z,close,4,pre-kickoff close tick @ 2026-08-15T22:46:01.134502+00:00
6019cf7d7736d90f1f034b0450d030da,2026-08-15T23:00:00Z,Atlante FC,Toluca,Atlante,Toluca,5.7,4.4,1.66,betfair_ex_eu,h2h,theoddsapi,2026-08-15T22:45:56Z,2026-08-15T22:46:01Z,close,4,pre-kickoff close tick @ 2026-08-15T22:46:01.134502+00:00
6019cf7d7736d90f1f034b0450d030da,2026-08-15T23:00:00Z,Atlante FC,Toluca,Atlante,Toluca,5.66,4.25,1.6,pinnacle,h2h,theoddsapi,2026-08-15T22:46:36Z,2026-08-15T22:46:56Z,close,4,pre-kickoff close tick @ 2026-08-15T22:46:56.773987+00:00
6019cf7d7736d90f1f034b0450d030da,2026-08-15T23:00:00Z,Atlante FC,Toluca,Atlante,Toluca,5.7,4.4,1.66,matchbook,h2h,theoddsapi,2026-08-15T22:46:37Z,2026-08-15T22:46:56Z,close,4,pre-kickoff close tick @ 2026-08-15T22:46:56.773987+00:00
6019cf7d7736d90f1f034b0450d030da,2026-08-15T23:00:00Z,Atlante FC,Toluca,Atlante,Toluca,5.7,4.4,1.66,betfair_ex_eu,h2h,theoddsapi,2026-08-15T22:46:37Z,2026-08-15T22:46:56Z,close,4,pre-kickoff close tick @ 2026-08-15T22:46:56.773987+00:00
6019cf7d7736d90f1f034b0450d030da,2026-08-15T23:00:00Z,Atlante FC,Toluca,Atlante,Toluca,5.46,4.17,1.63,pinnacle,h2h,theoddsapi,2026-08-15T22:50:23Z,2026-08-15T22:50:39Z,close,4,pre-kickoff close tick @ 2026-08-15T22:50:39.058390+00:00
6019cf7d7736d90f1f034b0450d030da,2026-08-15T23:00:00Z,Atlante FC,Toluca,Atlante,Toluca,5.7,4.3,1.66,matchbook,h2h,theoddsapi,2026-08-15T22:50:23Z,2026-08-15T22:50:39Z,close,4,pre-kickoff close tick @ 2026-08-15T22:50:39.058390+00:00
6019cf7d7736d90f1f034b0450d030da,2026-08-15T23:00:00Z,Atlante FC,Toluca,Atlante,Toluca,5.6,4.3,1.66,betfair_ex_eu,h2h,theoddsapi,2026-08-15T22:50:03Z,2026-08-15T22:50:39Z,close,4,pre-kickoff close tick @ 2026-08-15T22:50:39.058390+00:00
0f2dee69aa6fd0576b8a1cc49c985d88,2026-08-16T01:10:00Z,Monterrey,FC Juárez,Monterrey,FC Juarez,1.59,4.55,5.29,pinnacle,h2h,theoddsapi,2026-08-16T00:50:26Z,2026-08-16T00:50:42Z,close,4,pre-kickoff close tick @ 2026-08-16T00:50:42.507557+00:00
0f2dee69aa6fd0576b8a1cc49c985d88,2026-08-16T01:10:00Z,Monterrey,FC Juárez,Monterrey,FC Juarez,1.57,4.9,6.0,betfair_ex_eu,h2h,theoddsapi,2026-08-16T00:50:07Z,2026-08-16T00:50:42Z,close,4,pre-kickoff close tick @ 2026-08-16T00:50:42.507557+00:00
